feature,importance,importance_pct,cumulative_pct
median__credit_duration,2458,7.951861796771375,7.951861796771375
median__age_years,1705,5.51583578661318,13.467697583384556
median__ext_mean,1639,5.30231956261525,18.770017145999805
robust__days_last_phone_change,1593,5.1535052246773,23.923522370677105
robust__days_id_publish,1568,5.072627867102326,28.996150237779432
median__employed_to_age_ratio,1524,4.930283717770373,33.926433955549804
robust__days_registration,1508,4.87852220892239,38.804956164472195
median__ext_source_2,1484,4.800879945650416,43.60583611012261
median__amt_annuity,1415,4.577658438743489,48.1834945488661
ext__ext_source_3,1411,4.564718061531494,52.748212610397594
median__ext_std,1289,4.170036556565624,56.91824916696322
median__amt_goods_price,1238,4.0050467471126785,60.9232959140759
median__annuity_income_ratio,1191,3.8529973148717285,64.77629322894762
median__credit_income_ratio,1170,3.785060334508751,68.56135356345638
median__region_population_relative,1136,3.6750671282067873,72.23642069166317
ext__ext_source_1,1106,3.578014299116819,75.81443499077999
median__amt_income_total,928,3.0021675131830095,78.816602503963
median__sin_hour,516,1.6693086603474492,80.48591116431045
median__cos_hour,503,1.627252434408463,82.11316359871891
median__total_enquiries,499,1.6143120571964673,83.72747565591538
median__obs_30_cnt_social_circle,449,1.4525573420465205,85.1800329979619
ord_edu__name_education_type,255,0.8249490472647277,86.00498204522663
ohe__code_gender_M,209,0.6761347093267769,86.6811167545534
median__total_documents,185,0.5984924460548025,87.2796092006082
median__cnt_children,163,0.527320371388826,87.80692957199703
ord_rat__region_rating_client,159,0.5143799941768302,88.32130956617387
ohe__flag_own_car_Y,156,0.5046747112678335,88.8259842774417
median__def_30_cnt_social_circle,148,0.478793956843842,89.30477823428555
ohe__name_family_status_Married,147,0.47555886254084306,89.78033709682639
binary__flag_work_phone,101,0.3267445246028922,90.10708162142927
ohe__name_income_type_Working,92,0.29762867587590175,90.40471029730517
binary__flag_phone,91,0.29439358157290285,90.69910387887808
ohe__name_contract_type_Revolving loans,91,0.29439358157290285,90.99349746045098
ohe__name_type_suite_Unaccompanied,90,0.29115848726990395,91.28465594772089
ohe__organization_type_Self-employed,84,0.2717479214519103,91.5564038691728
ohe__flag_own_realty_Y,81,0.26204263854291354,91.8184465077157
ohe__weekday_appr_process_start_WEDNESDAY,81,0.26204263854291354,92.08048914625861
binary__occupation_type_missing,78,0.25233735563391674,92.33282650189253
ohe__name_family_status_Single / not married,77,0.2491022613309178,92.58192876322344
ohe__organization_type_Business Entity Type 3,71,0.2296916955129242,92.81162045873637
binary__reg_city_not_live_city,70,0.22645660120992525,93.0380770599463
ohe__weekday_appr_process_start_MONDAY,68,0.21998641260392743,93.25806347255023
ohe__weekday_appr_process_start_TUESDAY,66,0.21351622399792955,93.47157969654816
binary__live_city_not_work_city,63,0.20381094108893275,93.6753906376371
ohe__occupation_type_Core staff,55,0.1779301866649413,93.85332082430203
ohe__occupation_type_Laborers,55,0.1779301866649413,94.03125101096697
ohe__name_income_type_Commercial associate,55,0.1779301866649413,94.2091811976319
ohe__weekday_appr_process_start_SATURDAY,55,0.1779301866649413,94.38711138429684
ohe__name_income_type_State servant,53,0.1714599980589434,94.5585713823558
ohe__weekday_appr_process_start_THURSDAY,50,0.1617547151499466,94.72032609750575
ohe__weekday_appr_process_start_SUNDAY,50,0.1617547151499466,94.8820808126557
ohe__occupation_type_Sales staff,49,0.15851962084694768,95.04060043350265
ohe__occupation_type_High skill tech staff,48,0.15528452654394875,95.1958849600466
ohe__name_housing_type_House / apartment,48,0.15528452654394875,95.35116948659055
ohe__organization_type_Construction,46,0.14881433793795087,95.4999838245285
ohe__organization_type_Military,43,0.1391090550289541,95.63909287955745
